"doi","area","topic","year","journal","issn","is_journal","citations","if_proxy","jel","keywords"
"10.22004/ag.econ.386196","risk-management","prevented-planting",2026,"AgEcon Search (University of Minnesota, USA)",NA,FALSE,0,0.048,"","subsidy;limiting;offset (computer science);crop insurance;production (economics);substitution (logic)"
"10.22004/ag.econ.388968","risk-management","prevented-planting",2026,"AgEcon Search (University of Minnesota, USA)",NA,FALSE,0,0.048,"","acre;agriculture;risk management;crop insurance;payment;risk assessment"
"10.22004/ag.econ.364685","risk-management","premium-and-interest-deferrals",2025,"AgEcon Search (University of Minnesota, USA)",NA,FALSE,0,0.048,"","deferral;crop insurance;natural disaster;federal budget;revenue;business interruption insurance"
"10.1111/jori.12494","risk-management","yield-modeling",2024,"Journal of Risk & Insurance","0022-4367",TRUE,2,1.903,"Q14;Q18;G22;Q12;D81;D82","calibration;crop insurance;risk;uncertainty;united states;yield jel"
"10.1002/jaa2.77","risk-management","index-insurance",2023,"Journal of the Agricultural and Applied Economics Association","2769-2485",TRUE,10,1.458,"Q14;Q18;G22","basis risk;crop insurance;index insurance jel"
"10.22004/ag.econ.396438","risk-management","impacts-of-crop-insurance",2026,"AgEcon Search (University of Minnesota, USA)",NA,FALSE,0,0.048,"Q12;Q18;G22;Q14;O33;Q16","agricultural insurance;farm technology;technical efficiency;federal crop insurance program (fcip);risk management;credit access jel"
"10.1017/aae.2025.12","risk-management","impacts-of-crop-insurance",2025,"Journal of Agricultural and Applied Economics","1074-0708",TRUE,0,1.48,"","agricultural resource management survey data;cover crops;crop insurance jel"
"10.1002/aepp.13536","risk-management","safety-net-simulation",2025,"Applied Economic Perspectives and Policy","2040-5790",TRUE,0,2.285,"Q14;Q18;G22","crop insurance;index insurance;plc;price loss coverage jel"
"10.1002/aepp.13513","risk-management","safety-net-simulation",2025,"Applied Economic Perspectives and Policy","2040-5790",TRUE,1,2.285,"Q12;Q18;Q14","basis risk;crop insurance;farm safety net;risk mitigation jel"
"10.1108/afr-11-2023-0150","risk-management","safety-net-simulation",2024,"Agricultural Finance Review","0002-1466",TRUE,4,1.425,"Q12;Q14;Q18;G22;Q54;R51","crop insurance;profit;risk;farm bill;farm safety net paper type research paper 1. introduction"
"10.1002/aepp.13471","risk-management","prevented-planting",2024,"Applied Economic Perspectives and Policy","2040-5790",TRUE,4,2.285,"Q18;G22","crop insurance;prevent plant jel"
"10.1017/aae.2024.29","risk-management","background-and-policy",2025,"Journal of Agricultural and Applied Economics","1074-0708",TRUE,2,1.48,"","agricultural risk;crop insurance;premium subsidies;socially disadvantaged farmers;2018 farm bill jel"
"10.32747/2024.8754393.ers","risk-management","background-and-policy",2024,"USDA ERS EIB",NA,FALSE,6,NA,"","agriculture;agricultural economics;natural resource economics;environmental science;agricultural science;economics"
"10.22004/ag.econ.364764","risk-management","background-and-policy",2025,"AgEcon Search (University of Minnesota, USA)",NA,FALSE,0,0.048,"","crop insurance;revenue;safety net;yield (engineering);sugar beet;sugar"
